location,trap_set_date,week_ending_saturday,epi_week,year,site_type,lat,lon,lga_code_2011,lga_name_2011,lga_code_2016,lga_name_2016,lga_name_2020,lhd,virus
Hawkesbury,44077,14/03/2020,11,2020,Sydney,-33.2263,150.8609,13800,Hawkesbury,13800,Hawkesbury,Hawkesbury,Nepean Blue Mountains,Edge Hill
Northern Beaches,44472,13/03/2021,11,2021,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Edge Hill
Georges River - West,45385,09/03/2024,11,2024,Sydney,-33.97309,151.011178,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Sydney Olympic Park,45568,16/03/2024,11,2024,Sydney,-33.8354,151.0654,16250,Parramatta,12380,Parramatta,Parramatta,Western Sydney,Edge Hill
Tathra,34883,11/03/1995,12,1995,Coastal,-36.7297,149.9858,10550,Bega Valley,10550,Bega Valley,Bega Valley,Southern NSW,Edge Hill
Batemans Bay,17/03/1998,21/03/1998,12,1998,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Edge Hill
Batemans Bay,24/03/1998,28/03/1998,12,1998,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Edge Hill
Lake Macquarie,14/03/2006,18/03/2006,12,2006,Coastal,-33.0311,151.5603,14650,Lake Macquarie,14650,Lake Macquarie,Lake Macquarie,Hunter New England,Edge Hill
Central Coast,23/03/2007,24/03/2007,12,2007,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Edge Hill
Lake Macquarie,19/03/2008,22/03/2008,12,2008,Coastal,-33.0311,151.5603,14650,Lake Macquarie,14650,Lake Macquarie,Lake Macquarie,Hunter New England,Edge Hill
Port Stephens,40212,06/03/2010,12,2010,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Port Stephens,30/03/2010,03/04/2010,12,2010,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Ballina,25/03/2013,30/03/2013,12,2013,Coastal,-29.21,153.44,10250,Ballina,10250,Ballina,Ballina,Northern NSW,Edge Hill
Port Macquarie,25/03/2013,30/03/2013,12,2013,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Edge Hill
Port Stephens,24/03/2014,29/03/2014,12,2014,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Coffs Harbour,43864,07/03/2020,12,2020,Coastal,-30.3,153.1094,11800,Coffs Harbour,11800,Coffs Harbour,Coffs Harbour,Northern NSW,Edge Hill
Coffs Harbour,24/03/2020,28/03/2020,12,2020,Coastal,-30.3,153.1094,11800,Coffs Harbour,11800,Coffs Harbour,Coffs Harbour,Northern NSW,Edge Hill
Kempsey,23/03/2020,28/03/2020,12,2020,Coastal,-31.06,152.82,14350,Kempsey,14350,Kempsey,Kempsey,Mid North Coast,Edge Hill
Port Macquarie,23/03/2020,28/03/2020,12,2020,Coastal,-31.38,152.9,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Edge Hill
Tweed,23/03/2020,28/03/2020,12,2020,Coastal,-28.256,153.55,17550,Tweed,17550,Tweed,Tweed,Northern NSW,Edge Hill
Central Coast,44230,06/03/2021,12,2021,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Edge Hill
Clarence Valley,17/03/2021,20/03/2021,12,2021,Coastal,-29.8784,152.6384,11730,Clarence Valley,11730,Clarence Valley,Clarence Valley,Northern NSW,Edge Hill
Clarence Valley,29/03/2021,03/04/2021,12,2021,Coastal,-29.8784,152.6384,11730,Clarence Valley,11730,Clarence Valley,Clarence Valley,Northern NSW,Edge Hill
Batemans Bay,25/03/2024,30/03/2024,12,2024,Coastal,-35.7162,150.1795,12750,Eurobodalla,12750,Eurobodalla,Eurobodalla,Southern NSW,Edge Hill
Bourke,13/03/2002,16/03/2002,12,2002,Inland,-30.0888,145.9378,11150,Bourke,11150,Bourke,Bourke,Far West,Edge Hill
Leeton,41611,16/03/2013,12,2013,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Edge Hill
Northern Beaches,35829,07/03/1998,12,1998,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Edge Hill
Ryde,39755,15/03/2008,12,2008,Sydney,-33.813,151.105,16700,Ryde,16700,Ryde,Ryde,Northern Sydney,Edge Hill
Georges River - East,40120,14/03/2009,12,2009,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Bankstown,20/03/2013,23/03/2013,12,2013,Sydney,-33.9182,151.035,10350,Bankstown,11570,Canterbury-Bankstown,Canterbury-Bankstown,South Western Sydney,Edge Hill
Georges River - East,42066,07/03/2015,12,2015,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Georges River - All,42769,04/03/2017,12,2017,Sydney,-33.977203,151.026151,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Georges River - East,42919,11/03/2017,12,2017,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Canada Bay,13/03/2024,16/03/2024,12,2024,Sydney,-33.8652,151.1093,11520,Canada Bay,11520,Canada Bay,Canada Bay,Sydney,Edge Hill
Georges River - West,45599,16/03/2024,12,2024,Sydney,-33.97309,151.011178,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Liverpool,45599,16/03/2024,12,2024,Sydney,-33.9286,150.918,14900,Liverpool,14900,Liverpool,Liverpool,South Western Sydney,Edge Hill
Northern Beaches,13/03/2024,16/03/2024,12,2024,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Edge Hill
Sydney Olympic Park,18/03/2024,23/03/2024,12,2024,Sydney,-33.8354,151.0654,16250,Parramatta,12380,Parramatta,Parramatta,Western Sydney,Edge Hill
Ballina,34976,15/04/1995,16,1995,Coastal,-29.21,153.44,10250,Ballina,10250,Ballina,Ballina,Northern NSW,Edge Hill
Maclean,34823,08/04/1995,16,1995,Coastal,-29.4606,153.2019,11730,Clarence Valley,11730,Clarence Valley,Clarence Valley,Northern NSW,Edge Hill
Port Stephens,38872,08/04/2006,16,2006,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Port Stephens,13/04/2010,17/04/2010,16,2010,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Byron Bay,15/04/2013,20/04/2013,16,2013,Coastal,-29.01,153.52,11350,Byron,11350,Byron,Byron,Northern NSW,Edge Hill
Central Coast,41551,13/04/2013,16,2013,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Edge Hill
Central Coast,15/04/2013,20/04/2013,16,2013,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Edge Hill
Port Stephens,41643,05/04/2014,16,2014,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Edge Hill
Central Coast,43834,04/04/2020,16,2020,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Edge Hill
Ballina,44473,10/04/2021,16,2021,Coastal,-29.21,153.44,10250,Ballina,10250,Ballina,Ballina,Northern NSW,Edge Hill
Newcastle,45234,15/04/2023,16,2023,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Edge Hill
Central Coast,28/04/2024,04/05/2024,16,2024,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Edge Hill
Clarence Valley,28/04/2024,04/05/2024,16,2024,Coastal,-29.8784,152.6384,11730,Clarence Valley,11730,Clarence Valley,Clarence Valley,Northern NSW,Edge Hill
Moree,21/04/2025,26/04/2025,16,2025,Inland,-29.4658,149.8339,15300,Moree Plains,15300,Moree Plains,Moree Plains,Hunter New England,Edge Hill
Georges River - East,39998,11/04/2009,16,2009,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Georges River - East,27/04/2009,02/05/2009,16,2009,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Bankstown,18/04/2013,20/04/2013,16,2013,Sydney,-33.9182,151.035,10350,Bankstown,11570,Canterbury-Bankstown,Canterbury-Bankstown,South Western Sydney,Edge Hill
Georges River - East,41309,06/04/2013,16,2013,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Hawkesbury,41309,06/04/2013,16,2013,Sydney,-33.2263,150.8609,13800,Hawkesbury,13800,Hawkesbury,Hawkesbury,Nepean Blue Mountains,Edge Hill
Hawkesbury,41551,13/04/2013,16,2013,Sydney,-33.2263,150.8609,13800,Hawkesbury,13800,Hawkesbury,Hawkesbury,Nepean Blue Mountains,Edge Hill
Earlwood,45600,13/04/2024,16,2024,Sydney,-33.933,151.144,10350,Bankstown,11570,Canterbury-Bankstown,Canterbury-Bankstown,Sydney,Edge Hill
Northern Beaches,27/04/2024,27/04/2024,16,2024,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Edge Hill
Newcastle,44989,08/04/2023,17,2023,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Edge Hill
Forbes,20/04/2021,24/04/2021,17,2021,Inland,-33.3799,148.0067,12900,Forbes,12900,Forbes,Forbes,Western NSW,Edge Hill
Georges River - East,14/04/2009,18/04/2009,17,2009,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Georges River - East,14/04/2013,20/04/2013,17,2013,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Georges River - East,20/04/2017,22/04/2017,17,2017,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Edge Hill
Northern Beaches,20/04/2020,25/04/2020,17,2020,Sydney,-33.676,151.2569,18000,Warringah,15990,Northern Beaches,Northern Beaches,Northern Sydney,Edge Hill
Lake Cathie,26/05/2025,31/05/2025,20,2025,Coastal,-31.72,152.83,16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings,Port Macquarie-Hastings,Mid North Coast,Edge Hill
Griffith,40913,05/05/2012,21,2012,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Edge Hill
Bourke,37937,13/12/2003,51,2003,Inland,-30.0888,145.9378,11150,Bourke,11150,Bourke,Bourke,Far West,Edge Hill
Grong Grong,44693,10/12/2022,51,2022,Inland,-34.89,146.78,15800,Narrandera,15800,Narrandera,Narrandera,Murrumbidgee,Edge Hill
Penrith,13/12/2022,17/12/2022,51,2022,Sydney,-33.7507,150.6877,16350,Penrith,16350,Penrith,Penrith,Nepean Blue Mountains,Edge Hill
Griffith,33696,08/02/1992,7,1992,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Flavivirus unspecified
Georges River - East,20/04/2017,22/04/2017,17,2017,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Flavivirus unspecified
Griffith,27/01/1993,30/01/1993,3,1993,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Gan Gan
Newcastle,13/01/2025,18/01/2025,4,2025,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Gan Gan
Newcastle,45932,15/02/2025,7,2025,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Gan Gan
Central Coast,45779,08/02/2025,8,2025,Coastal,-33.232,151.2173,11650,Central Coast,11650,Central Coast,Central Coast,Central Coast,Gan Gan
Newcastle,45718,08/02/2025,8,2025,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Gan Gan
Newcastle,17/02/2025,22/02/2025,8,2025,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Gan Gan
Newcastle,24/02/2025,01/03/2025,8,2025,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Gan Gan
Bankstown,18/02/2025,22/02/2025,8,2025,Sydney,-33.9182,151.035,10350,Bankstown,11570,Canterbury-Bankstown,Canterbury-Bankstown,South Western Sydney,Gan Gan
Port Stephens,17/03/1992,21/03/1992,12,1992,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Gan Gan
Newcastle,17/03/2025,22/03/2025,12,2025,Coastal,-32.8665,151.7618,15900,Newcastle,15900,Newcastle,Newcastle,Hunter New England,Gan Gan
Condobolin,17/03/1992,21/03/1992,12,1992,Inland,-33.0885,147.1473,14600,Lachlan,14600,Lachlan,Lachlan,Western NSW,Gan Gan
Bankstown,45994,15/03/2025,12,2025,Sydney,-33.9182,151.035,10350,Bankstown,11570,Canterbury-Bankstown,Canterbury-Bankstown,South Western Sydney,Gan Gan
Bankstown,18/03/2025,22/03/2025,12,2025,Sydney,-33.9182,151.035,10350,Bankstown,11570,Canterbury-Bankstown,Canterbury-Bankstown,South Western Sydney,Gan Gan
Georges River,18/03/2025,22/03/2025,12,2025,Sydney,-33.98247,151.035506,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Gan Gan
Penrith,45661,05/04/2025,16,2025,Sydney,-33.7507,150.6877,16350,Penrith,16350,Penrith,Penrith,Nepean Blue Mountains,Gan Gan
Hawkesbury,45873,12/04/2025,17,2025,Sydney,-33.2263,150.8609,13800,Hawkesbury,13800,Hawkesbury,Hawkesbury,Nepean Blue Mountains,Gan Gan
Penrith,45873,12/04/2025,17,2025,Sydney,-33.7507,150.6877,16350,Penrith,16350,Penrith,Penrith,Nepean Blue Mountains,Gan Gan
Forbes,17/01/2021,23/01/2021,3,2021,Inland,-33.3799,148.0067,12900,Forbes,12900,Forbes,Forbes,Western NSW,Japanese encephalitis
Forbes,24/01/2022,29/01/2022,3,2022,Inland,-33.3799,148.0067,12900,Forbes,12900,Forbes,Forbes,Western NSW,Japanese encephalitis
Wagga Wagga,44835,15/01/2022,3,2022,Inland,-35.1082,147.3598,17750,Wagga Wagga,17750,Wagga Wagga,Wagga Wagga,Murrumbidgee,Japanese encephalitis
Griffith,45363,07/12/2024,51,2024,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Japanese encephalitis
Moree,22/12/2024,28/12/2024,51,2024,Inland,-29.4658,149.8339,15300,Moree Plains,15300,Moree Plains,Moree Plains,Hunter New England,Japanese encephalitis
Griffith,29/01/2008,02/02/2008,3,2008,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Albury,23/01/2017,28/01/2017,3,2017,Inland,-36.0737,146.9135,10050,Albury,10050,Albury,Albury,Murrumbidgee,Kokobera
Grong Grong,29/01/2024,03/02/2024,3,2024,Inland,-34.89,146.78,15800,Narrandera,15800,Narrandera,Narrandera,Murrumbidgee,Kokobera
Macquarie Marshes,22/01/2024,27/01/2024,3,2024,Inland,-30.6959,147.6304,10950,Bogan,10950,Bogan,Bogan,Western NSW,Kokobera
Temora,29/01/2024,03/02/2024,3,2024,Inland,-34.37,147.52,17350,Temora,17350,Temora,Temora,Murrumbidgee,Kokobera
Georges River - West,43709,12/01/2019,3,2019,Sydney,-33.97309,151.011178,17150,Sutherland,17150,Sutherland,Sutherland,South Eastern Sydney,Kokobera
Forbes,31/01/2022,05/02/2022,4,2022,Inland,-33.3799,148.0067,12900,Forbes,12900,Forbes,Forbes,Western NSW,Kokobera
Forbes,30/01/2024,03/02/2024,4,2024,Inland,-33.3799,148.0067,12900,Forbes,12900,Forbes,Forbes,Western NSW,Kokobera
Bourke,38262,14/02/2004,7,2004,Inland,-30.0888,145.9378,11150,Bourke,11150,Bourke,Bourke,Far West,Kokobera
Bourke,21/02/2012,25/02/2012,7,2012,Inland,-30.0888,145.9378,11150,Bourke,11150,Bourke,Bourke,Far West,Kokobera
Leeton,21/02/2012,25/02/2012,7,2012,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kokobera
Forbes,15/02/2022,19/02/2022,7,2022,Inland,-33.3799,148.0067,12900,Forbes,12900,Forbes,Forbes,Western NSW,Kokobera
Deniliquin,35644,08/02/1997,8,1997,Inland,-35.53,144.99,12500,Deniliquin,12730,Edward River,Edward River,Murrumbidgee,Kokobera
Griffith,36162,06/02/1999,8,1999,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Bourke,18/02/2004,21/02/2004,8,2004,Inland,-30.0888,145.9378,11150,Bourke,11150,Bourke,Bourke,Far West,Kokobera
Leeton,38719,04/02/2006,8,2006,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kokobera
Griffith,18/02/2008,23/02/2008,8,2008,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Griffith,22/02/2010,27/02/2010,8,2010,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Griffith,22/02/2012,25/02/2012,8,2012,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Menindee,20/02/2012,25/02/2012,8,2012,Inland,-32.4,142.43,11700,Central Darling,11700,Central Darling,Central Darling,Far West,Kokobera
Griffith,42310,14/02/2015,8,2015,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Griffith,42888,11/02/2017,8,2017,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Griffith,24/02/2021,27/02/2021,8,2021,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Albury,44744,12/02/2022,8,2022,Inland,-36.0737,146.9135,10050,Albury,10050,Albury,Albury,Murrumbidgee,Kokobera
Forbes,29/02/2024,02/03/2024,8,2024,Inland,-33.3799,148.0067,12900,Forbes,12900,Forbes,Forbes,Western NSW,Kokobera
Griffith,19/02/2024,24/02/2024,8,2024,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Tweed,44077,14/03/2020,11,2020,Coastal,-28.256,153.55,17550,Tweed,17550,Tweed,Tweed,Northern NSW,Kokobera
Bourke,38080,06/03/2004,11,2004,Inland,-30.0888,145.9378,11150,Bourke,11150,Bourke,Bourke,Far West,Kokobera
Griffith,26/03/2012,31/03/2012,11,2012,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Leeton,21/03/2012,24/03/2012,11,2012,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kokobera
Leeton,44077,14/03/2020,11,2020,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kokobera
Leeton,45385,09/03/2024,11,2024,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kokobera
Port Stephens,30/03/2010,03/04/2010,12,2010,Coastal,-32.7685,151.8409,16400,Port Stephens,16400,Port Stephens,Port Stephens,Hunter New England,Kokobera
Nambucca,24/03/2024,30/03/2024,12,2024,Coastal,-30.6665,152.7324,15700,Nambucca,15700,Nambucca,Nambucca Valley,Northern NSW,Kokobera
Leeton,20/03/2001,24/03/2001,12,2001,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kokobera
Griffith,40212,06/03/2010,12,2010,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Griffith,22/03/2010,27/03/2010,12,2010,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Griffith,29/03/2010,03/04/2010,12,2010,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Leeton,40240,06/03/2010,12,2010,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kokobera
Griffith,40758,12/03/2011,12,2011,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Leeton,22/03/2011,26/03/2011,12,2011,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kokobera
Bourke,41246,17/03/2012,12,2012,Inland,-30.0888,145.9378,11150,Bourke,11150,Bourke,Bourke,Far West,Kokobera
Griffith,19/03/2012,24/03/2012,12,2012,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kokobera
Leeton,13/03/2012,17/03/2012,12,2012,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kokobera
Forbes,14/03/2022,19/02/2022,12,2022,Inland,-33.3799,148.0067,12900,Forbes,12900,Forbes,Forbes,Western NSW,Kokobera
Macquarie Marshes,18/03/2024,23/03/2024,12,2024,Inland,-30.6959,147.6304,10950,Bogan,10950,Bogan,Bogan,Western NSW,Kokobera
Hawkesbury,40363,10/04/2010,16,2010,Sydney,-33.2263,150.8609,13800,Hawkesbury,13800,Hawkesbury,Hawkesbury,Nepean Blue Mountains,Kokobera
Nambucca,14/04/2024,20/04/2024,17,2024,Coastal,-30.6665,152.7324,15700,Nambucca,15700,Nambucca,Nambucca Valley,Northern NSW,Kokobera
Leeton,19/01/1999,23/01/1999,3,1999,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kunjin
Griffith,23/01/2023,28/01/2023,3,2023,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kunjin
Macquarie Marshes,23/01/2023,28/01/2023,3,2023,Inland,-30.6959,147.6304,10950,Bogan,10950,Bogan,Bogan,Western NSW,Kunjin
Griffith,30/01/2017,04/02/2017,4,2017,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kunjin
Bourke,26/02/1991,02/03/1991,7,1991,Inland,-30.0888,145.9378,11150,Bourke,11150,Bourke,Bourke,Far West,Kunjin
Griffith,15/02/1999,20/02/1999,7,1999,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kunjin
Condobolin,20/02/1991,23/02/1991,8,1991,Inland,-33.0885,147.1473,14600,Lachlan,14600,Lachlan,Lachlan,Western NSW,Kunjin
Leeton,37227,17/02/2001,8,2001,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kunjin
Leeton,14/02/2007,17/02/2007,8,2007,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kunjin
Griffith,40757,12/02/2011,8,2011,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kunjin
Griffith,22/02/2011,26/02/2011,8,2011,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kunjin
Murray-Mathoura,40576,05/02/2011,8,2011,Inland,-35.818,144.912,15500,Murray,15520,Murray River,Murray River,Murrumbidgee,Kunjin
Griffith,15/03/2011,19/03/2011,11,2011,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kunjin
Griffith,36163,06/03/1999,12,1999,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kunjin
Griffith,40758,12/03/2011,12,2011,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kunjin
Murray-Mathoura,40758,12/03/2011,12,2011,Inland,-35.818,144.912,15500,Murray,15520,Murray River,Murray River,Murrumbidgee,Kunjin
Griffith,19/03/2012,24/03/2012,12,2012,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Kunjin
Baulkham Hills,25/03/2011,26/03/2011,12,2011,Sydney,-33.7619,150.9929,17420,The Hills,17420,The Hills,The Hills,Western Sydney,Kunjin
Wentworth,27/11/1990,01/12/1990,46,1990,Inland,-34.1071,141.9178,18200,Wentworth,18200,Wentworth,Wentworth,Far West,Kunjin
Lake Cargelligo,19/12/1990,22/12/1990,51,1990,Inland,-33.2984,146.374,14600,Lachlan,14600,Lachlan,Lachlan,Western NSW,Kunjin
Leeton,17/12/1990,22/12/1990,51,1990,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Kunjin
Wentworth,18/12/1990,22/12/1990,51,1990,Inland,-34.1071,141.9178,18200,Wentworth,18200,Wentworth,Wentworth,Far West,Kunjin
Balranald,23/01/2023,28/01/2023,3,2023,Inland,-34.671,143.58,10300,Balranald,10300,Balranald,Balranald,Far West,Murray Valley encephalitis
Griffith,45200,14/01/2023,3,2023,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Murray Valley encephalitis
Griffith,16/01/2023,21/01/2023,3,2023,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Murray Valley encephalitis
Macquarie Marshes,23/01/2023,28/01/2023,3,2023,Inland,-30.6959,147.6304,10950,Bogan,10950,Bogan,Bogan,Western NSW,Murray Valley encephalitis
Menindee,45017,07/01/2023,3,2023,Inland,-32.4,142.43,11700,Central Darling,11700,Central Darling,Central Darling,Far West,Murray Valley encephalitis
Menindee,45200,14/01/2023,3,2023,Inland,-32.4,142.43,11700,Central Darling,11700,Central Darling,Central Darling,Far West,Murray Valley encephalitis
Murray-Mathoura,17/01/2023,21/01/2023,3,2023,Inland,-35.818,144.912,15500,Murray,15520,Murray River,Murray River,Murrumbidgee,Murray Valley encephalitis
Temora,23/01/2023,28/01/2023,3,2023,Inland,-34.37,147.52,17350,Temora,17350,Temora,Temora,Murrumbidgee,Murray Valley encephalitis
Albury,30/01/2023,04/02/2023,4,2023,Inland,-36.0737,146.9135,10050,Albury,10050,Albury,Albury,Murrumbidgee,Murray Valley encephalitis
Leeton,31/01/2023,04/02/2023,4,2023,Inland,-34.525,146.3998,14750,Leeton,14750,Leeton,Leeton,Murrumbidgee,Murray Valley encephalitis
Murray-Mathoura,30/01/2023,04/02/2023,4,2023,Inland,-35.818,144.912,15500,Murray,15520,Murray River,Murray River,Murrumbidgee,Murray Valley encephalitis
Deniliquin,21/02/2023,25/02/2023,7,2023,Inland,-35.53,144.99,12500,Deniliquin,12730,Edward River,Edward River,Murrumbidgee,Murray Valley encephalitis
Griffith,39570,09/02/2008,8,2008,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Murray Valley encephalitis
Griffith,18/02/2008,23/02/2008,8,2008,Inland,-34.2801,146.0455,13450,Griffith,13450,Griffith,Griffith,Murrumbidgee,Murray Valley encephalitis
